transaction_id,customer_id,transaction_amount,transaction_type,account_age,num_previous_frauds,merchant_risk_score,fraud_flag
48,1328,9674.514486811846,Wire Transfer,10,1,0.23647633684560881,0
49,2559,6435.951569828675,Wire Transfer,4,1,0.8814618346437119,0
50,3555,1678.08495124137,Online,4,3,0.12872155228473967,0
51,3497,4885.532181409669,ATM,18,4,0.686453128469656,0
52,4446,1854.511804569469,ATM,13,1,0.33405787933587283,0
53,4367,6064.107843358606,In-Store,1,2,0.8583220486800003,0
54,4547,3420.64797993022,Online,10,4,0.4393533575107861,0
55,3886,1963.9707839552248,Wire Transfer,1,2,0.4894217695760007,0
56,3440,2435.4819703861335,Online,2,4,0.23099659797343736,0
57,1108,6754.235894870917,In-Store,9,2,0.6636270447323345,0
58,1358,4086.2764331052626,ATM,1,1,0.5235927264261945,0
59,1955,5136.458243366755,Online,15,2,0.10782281303658894,0
60,3982,8215.175598293272,ATM,15,1,0.7577698496987849,0
61,4360,6557.659812282798,Wire Transfer,2,3,0.2152637191145942,0
62,4489,4629.5114855251195,In-Store,12,2,0.5735251375984025,0
63,1317,9541.027482858079,ATM,18,0,0.5851719277455331,0
64,1340,2152.9059134386694,Online,10,0,0.36944660352033887,0
65,2340,2897.0300053199217,In-Store,13,2,0.30577181910553697,0
66,1348,9115.200193003691,Wire Transfer,9,1,0.38021491430986976,0
67,3074,8533.720169493277,Online,3,4,0.45820793077649247,0
68,1637,1309.2734452433056,ATM,8,3,0.9408473522714638,0
69,1400,9300.171634347977,ATM,14,2,0.7022791282658564,0
70,3363,111.58555695269169,In-Store,16,3,0.9688813898945617,0
71,4753,8225.984575694198,Wire Transfer,6,1,0.17647415627859367,0
72,2582,2795.236163929891,Online,9,0,0.14093732658788585,0
73,1367,1894.683401820113,Wire Transfer,4,1,0.15258287764671716,1
74,3390,4492.609205596574,Online,19,1,0.8732887467969853,0
75,3740,8971.858093117518,Online,15,2,0.8508806225648777,0
76,2388,7861.1197505193495,In-Store,11,3,0.4942219273255827,0
77,4988,9671.01765192911,ATM,10,4,0.4919347743667718,0
78,1903,5414.578341567534,ATM,8,3,0.4846988443659279,0
79,2096,5110.493861374774,ATM,3,4,0.9500340821510649,0
80,4193,140.18959632365724,Wire Transfer,19,0,0.33567420263620973,0
81,4936,1814.2697531862825,Online,4,3,0.7465335442874681,0
82,1185,4981.226754234649,In-Store,13,4,0.19892160143566706,0
83,3883,7528.1447827613365,Wire Transfer,9,3,0.3353748317420938,0
84,3366,8227.79975442756,Online,13,1,0.6385217432400154,0
85,4002,2839.8307457589776,In-Store,9,0,0.6378798971916304,0
86,1593,7127.447850821088,Online,19,3,0.5982500274147221,0
87,4039,8287.009110096618,In-Store,16,1,0.21114840411110614,0
88,2565,3754.2960991037353,Wire Transfer,18,1,0.7792252659197837,0
89,1792,6958.603068461153,Online,19,0,0.7400094464385105,0
90,4704,4378.438562211728,Online,17,3,0.7128467015310573,0
91,3400,9856.66595124789,Wire Transfer,12,2,0.2163878804573628,0
92,1354,76.60877606119057,In-Store,11,2,0.2987758222992549,0
93,1105,4149.306945997995,ATM,17,2,0.9196818415114377,0
94,4895,2644.5268647669673,ATM,6,1,0.5343659377517914,0
95,1417,8498.868166683951,In-Store,15,3,0.47615524014473876,0
96,1641,2878.387072898496,In-Store,2,4,0.8852851970420691,0
97,3252,5443.0162810447,ATM,14,3,0.3653791349581449,0
98,1564,7405.291787490637,Online,3,0,0.8434845359801307,0
99,4453,4977.330436923301,Wire Transfer,12,4,0.4973450395352801,0
100,4368,4109.921471360865,ATM,6,0,0.6593543943882433,0
101,2302,434.7548695135477,In-Store,5,3,0.42834756073333113,0
102,3236,239.09236585927056,Online,7,0,0.9247269656187082,0
103,2750,9573.648728619819,In-Store,6,1,0.195588467777705,0
104,3590,6436.008134427179,ATM,19,2,0.2954424162737148,0
105,4521,8254.285445109603,Wire Transfer,14,3,0.2823506928867616,0
106,1257,4809.579438426187,Wire Transfer,18,4,0.3342353990586036,0
107,3500,2623.194151747778,Online,14,4,0.508964971386683,0
108,2595,2952.4324198014,Wire Transfer,8,0,0.20515458427053201,0
109,3125,444.4812688742083,ATM,14,2,0.13496742350932378,0
110,2046,7910.926328122199,ATM,19,3,0.6093469579391754,0
111,3550,5819.892099176872,ATM,3,1,0.5519048807720023,0
112,3232,4813.209751115399,Online,15,0,0.4065931324824342,0
113,3594,8524.447476232179,ATM,16,3,0.2536317317353197,1
114,4584,4454.0018259945555,Wire Transfer,15,3,0.20563061475393452,0
115,2640,9479.822196845036,Online,14,2,0.9001212778492699,0
116,2711,142.23292853078212,ATM,15,4,0.4910435948455155,0
117,1048,9846.317448010377,ATM,7,2,0.9572362102776711,0
118,1167,8160.676489148594,In-Store,5,0,0.3927590400979568,0
119,2853,3555.8426297360766,ATM,9,0,0.6514024808889951,0
120,4854,5957.681965584635,Online,16,2,0.6107428646811429,0
121,4741,8647.40407143098,In-Store,2,3,0.24629982804690137,0
122,3068,4821.167547273952,Online,7,4,0.5444253150289925,0
123,1391,519.9866227616628,ATM,12,0,0.5362228401016751,0
124,3950,9037.923861266838,Wire Transfer,16,2,0.5557577006311333,0
125,2128,5174.992306306781,In-Store,4,0,0.3717547987904447,0
126,4361,5456.120839603397,In-Store,2,4,0.31861065459058086,0
127,2656,147.04458521991552,In-Store,17,1,0.46944676791418105,0
128,2727,1009.6600387355782,Online,17,1,0.9304803835460103,0
129,2449,7776.20447686489,In-Store,3,3,0.6124506322537026,0
130,1228,4355.143993261067,Wire Transfer,16,3,0.5217581135570067,0
131,3031,9980.602545650863,Wire Transfer,5,1,0.2759510680108065,0
132,4252,6959.8199803759135,In-Store,7,4,0.9335016501024392,0
133,1351,9496.515432465249,Online,13,2,0.6937152165799813,0
134,3272,2800.7277564249894,Online,9,2,0.9897229319937181,0
135,1233,1769.7741148691348,Online,8,4,0.2519195716579772,0
136,1265,3772.1283605505646,ATM,1,2,0.451323755215872,0
137,1857,2655.0377695937573,Online,4,3,0.39941815843368156,0
138,3361,6137.523148598659,Online,7,2,0.3989658646472819,0
139,1498,7446.9760416435365,In-Store,11,2,0.1296070872625822,0
140,1876,4026.954154293904,ATM,8,3,0.5842245567444193,0
141,4289,907.5618080648667,In-Store,8,0,0.647933572079343,0
142,3258,273.0562950250358,Online,11,1,0.14244787683899843,0
143,1098,2188.0967918796355,Online,7,2,0.8918467011483834,0
144,2644,7327.549484694939,In-Store,11,1,0.281262783490668,0
145,2411,2223.308608915093,ATM,18,1,0.2328627331781276,0
146,3392,9110.632879294966,ATM,4,4,0.2621909544897466,0
147,4324,6519.91865780333,In-Store,6,4,0.4795194321407398,0
148,3951,8622.275475289487,Online,7,4,0.1741386117590908,0
149,1523,3864.289100836957,ATM,10,0,0.8414681991062058,0
150,3165,9835.66312660529,ATM,8,0,0.7119916935895338,0
151,3647,6798.189124944184,Wire Transfer,4,1,0.5249583947359782,0
152,1855,3576.029156308868,In-Store,9,1,0.5505559070818152,0
153,3256,2133.265937070915,ATM,6,1,0.465416695709012,0
154,2432,8666.647999776627,Wire Transfer,17,1,0.7440521305173017,0
155,1480,3187.8017759954078,Wire Transfer,19,3,0.9578716168740379,0
156,3970,453.1987831070695,Wire Transfer,14,1,0.5981447225721381,0
157,2665,2793.8005402848867,Online,1,4,0.6070602082875337,0
158,1328,1802.7191859250388,In-Store,6,1,0.5700702600847966,0
159,4254,3204.114847600131,ATM,7,4,0.9191073522219678,0
160,2977,6136.529134446231,Wire Transfer,1,4,0.6722414346184351,0
161,1416,5009.31455551311,Online,17,1,0.8870382979336109,0
162,4154,7111.39531959964,Online,17,1,0.6259887144267581,0
163,3301,3344.983064981212,In-Store,7,2,0.728394839585068,0
164,1944,1206.8861137017298,In-Store,14,4,0.6900813547028054,0
165,3052,1611.0750316375577,Online,7,1,0.49663743073021416,0
166,3350,7974.854819998576,Online,13,1,0.2235173552734494,0
167,1979,988.9266702288446,Wire Transfer,18,2,0.47970859239328834,0
168,4607,7983.280914687534,Wire Transfer,7,3,0.8848100616749184,0
169,2656,2134.167211304993,ATM,2,4,0.6902836657586254,0
170,3654,6787.262134085428,Wire Transfer,19,4,0.9491881005384593,0
171,2451,6234.731924431946,Wire Transfer,14,2,0.3508428839243364,0
172,4011,991.6217632368083,Wire Transfer,1,3,0.5246093221421875,0
173,3783,6661.976385817601,ATM,16,0,0.7689867424561533,0
174,4822,4480.599845827402,ATM,7,2,0.21921301190441078,0
175,2250,7074.547743448496,ATM,16,1,0.1885675149533071,0
176,2677,8356.383947087199,ATM,12,1,0.7775132674994305,0
177,2586,404.5986983614267,Wire Transfer,5,1,0.6987402564196608,0
178,1389,6483.148690465602,In-Store,17,0,0.5328050558688844,0
179,4728,1058.5286977617725,ATM,13,1,0.16007270375613203,0
180,1849,3794.96698822435,ATM,14,0,0.664842328582402,0
181,4911,136.65827521274616,ATM,16,2,0.7016341402907206,0
182,1818,3293.1516756871515,Wire Transfer,13,0,0.37046080128776826,0
183,4635,1701.85494440269,Online,18,1,0.18085963461619653,0
184,1011,5567.080305518568,Wire Transfer,18,4,0.5537414345491155,0
185,3384,5127.592146489014,ATM,9,1,0.537672194558556,0
186,3654,7934.8114588348,Wire Transfer,1,0,0.3655425377107503,0
187,4954,6403.213521840018,In-Store,2,0,0.6074167636449587,0
188,3176,7149.112575372254,Wire Transfer,8,3,0.6477048434601408,0
189,1010,933.875974736628,Online,13,3,0.9303374714440745,0
190,1489,287.37062259942957,Online,6,3,0.7964572015248281,1
191,3319,9695.719981104572,ATM,19,1,0.8282290838811752,0
192,4428,4276.053760999135,Online,19,0,0.26709556307182025,0
193,3928,3955.7939431073232,ATM,2,3,0.5123371614484653,1
194,4163,359.77398314433543,Wire Transfer,10,4,0.2869887704712538,0
195,3056,1197.918953705057,Wire Transfer,5,2,0.2683881777170257,0
196,3934,9405.334536333654,ATM,1,2,0.5549013534569476,0
197,2146,6951.502209010496,ATM,13,3,0.3520835505225617,0
198,3823,4098.028375227772,Wire Transfer,12,3,0.2931259463084626,0
199,3328,9045.796485955549,In-Store,10,3,0.7530894687140718,0
200,3505,5903.029510079515,Online,3,2,0.13051294378678976,0
201,3983,7467.215805369014,Online,15,3,0.7769081095625252,0
202,3498,4321.679645252499,Online,5,4,0.908793813364983,0
203,4702,4320.965381672518,Online,19,4,0.734282119276086,0
204,4478,692.8214928375194,Wire Transfer,19,4,0.27380738244261105,0
205,4773,7342.392959004871,Online,13,4,0.7623325267430622,0
206,3838,1000.1828605695113,Wire Transfer,8,0,0.5518130021706474,0
207,1811,7645.0312083941135,ATM,8,3,0.6741764318856098,0
208,1055,1916.672297943804,Wire Transfer,6,1,0.45342720518193735,0
209,1707,2481.19884427168,ATM,9,0,0.27128049687134376,0
210,3426,9179.718658493675,ATM,14,1,0.1204964906511404,0
211,4573,4720.960968169609,In-Store,5,1,0.767061024823687,0
212,2009,1261.1728367859735,In-Store,16,0,0.48400502390839584,0
213,1022,9051.764679700671,In-Store,14,3,0.31791102497094464,0
214,4848,4529.446222019279,In-Store,10,0,0.66061502749189,0
215,4316,1314.207773168147,Online,17,2,0.8132969187366746,0
216,1771,3914.321485607772,In-Store,16,4,0.5759503444158521,0
217,4489,5897.399238035736,Online,17,0,0.7852309744786309,0
218,1230,3629.7968718415664,Online,16,0,0.4047196954567833,0
219,1209,9244.022316029736,Online,10,2,0.6877377161199983,0
220,2185,2704.141398890389,ATM,18,4,0.6544613300800993,0
221,2400,1766.4959013322218,ATM,6,1,0.25597014067215124,0
222,3913,2217.3022046591686,Online,17,2,0.7645800998820494,0
223,2193,846.661966528977,In-Store,9,3,0.7842036096483377,0
224,1898,4528.43838024672,Online,8,0,0.6910205662128195,0
225,4410,8784.555940467175,ATM,8,0,0.44157097036484205,0
226,4873,3060.342658732478,In-Store,12,2,0.5915694003082697,0
227,2497,2590.7928087599826,ATM,18,0,0.4944092140584233,0
228,2250,8375.472795832191,In-Store,2,4,0.10266809214871456,0
229,1872,3066.8886057550003,ATM,3,4,0.11017031958799695,0
230,3410,4774.15087575467,Online,11,2,0.277227903826021,0
231,4550,322.06858871058904,Wire Transfer,13,2,0.9217126304219814,0
232,2578,2877.846768053211,Wire Transfer,18,2,0.6682513170528795,0
233,1474,1314.2941008976484,ATM,11,3,0.45087754298064264,0
234,1194,1067.4026586053142,In-Store,14,0,0.6463874941020212,0
235,3980,4319.85981920299,ATM,4,1,0.15750417414728224,0
236,2035,2780.5505752214085,Wire Transfer,4,1,0.19392416381330235,0
237,4566,1672.8031733582152,In-Store,10,1,0.172830352991021,0
238,3006,5119.737850000134,ATM,2,2,0.835347868301298,0
239,3831,7842.599389616038,Wire Transfer,18,3,0.9999036249030675,0
240,4133,7351.24290804662,ATM,11,3,0.3012094725903527,0
241,1528,2515.1216945023234,Online,5,1,0.5344152883411493,0
242,1270,2638.715121922332,In-Store,17,1,0.21937477069591715,0
243,3585,7321.699124443478,In-Store,2,3,0.8935926277180093,0
244,2580,5576.113580091183,Online,3,2,0.2402551422934701,0
245,2921,7426.740781321635,Wire Transfer,7,2,0.5724195263852111,0
246,3704,23.639994741134906,ATM,2,1,0.6232110274183915,0
247,3112,880.5098174210522,Wire Transfer,2,4,0.5325551021172815,0
248,3909,8021.680945607901,In-Store,8,2,0.15492166536390017,0
249,4551,8512.676719851104,Wire Transfer,16,4,0.7168443038260655,0
250,2821,3440.9673806354317,In-Store,3,0,0.8971617170251182,0
251,1489,9583.765240983239,In-Store,6,2,0.18103319367171136,0
252,4139,3022.6786318883383,Online,19,4,0.7552517439585316,0
253,1361,8903.92956945285,Online,13,0,0.8390254444638428,0
254,4883,4222.873758215339,In-Store,4,0,0.24688963895741317,0
255,4679,5622.468497601403,ATM,17,1,0.994680022534292,0
256,3619,6436.289970622568,ATM,9,4,0.3682419154709169,0
257,1994,1339.7516942894424,Online,3,1,0.37882094170116964,0
258,1768,380.7429055808233,ATM,1,0,0.61061792220259,0
259,2042,4273.734871527234,Online,1,2,0.8371456352148748,0
260,1544,1611.9616689989641,In-Store,17,2,0.5128022256419634,0
261,1978,5493.848826618887,In-Store,13,2,0.5912639778993766,0
262,1931,4541.883076296828,In-Store,5,4,0.6552773902705379,0
263,1090,1229.7552527858813,Online,19,3,0.8133196397286713,0
264,4020,6661.192618980757,ATM,10,1,0.6820837477504472,0
265,3010,214.74293931763341,In-Store,9,3,0.2522227328379706,0
266,1237,1272.5692336381421,Wire Transfer,6,3,0.640130914069031,0
267,3509,7004.640566238289,ATM,17,0,0.29157131417007887,0
268,4095,5283.275643666678,ATM,7,1,0.49236523996498394,0
269,2250,2826.5103485310756,Online,16,0,0.8791871429287083,0
270,1850,1810.6588453320476,Online,19,3,0.21139913511629704,0
271,4452,6426.414464953409,ATM,5,0,0.42571523052556903,0
272,3968,2063.9106833188434,ATM,18,0,0.6054105918214165,0
273,3954,9846.264686668155,In-Store,7,4,0.8836538572335617,0
274,1776,8694.419096213518,In-Store,5,1,0.8010441674841012,0
275,4077,1330.257918677602,Wire Transfer,8,1,0.4815857644309972,0
276,3617,8592.934103809377,In-Store,9,3,0.5493763470875737,0
277,3659,3456.9773892628355,ATM,4,2,0.8615615845013203,0
278,1633,4904.918383915284,Online,3,0,0.889304583011374,0
279,4428,1436.8147085721457,Wire Transfer,12,1,0.5757056748235526,0
280,4228,1194.5366906382676,ATM,9,2,0.27921722826778683,0
281,2224,8656.27473096221,Wire Transfer,10,1,0.5483267671951106,0
282,2248,6302.7233879266505,Wire Transfer,11,3,0.934122571639046,0
283,1982,4610.005490067628,Wire Transfer,16,0,0.6495378266451013,0
284,3510,371.2769251712201,In-Store,11,4,0.7958986566518622,0
285,4850,9220.400252555963,In-Store,8,3,0.11683361547260995,0
286,1662,3767.1213890549648,Online,14,3,0.6709259236003658,0
287,4993,4172.325214265184,ATM,2,3,0.6386337795054184,0
288,4328,2905.197198618119,Wire Transfer,4,2,0.5248356291429046,0
289,1989,8913.987298741877,In-Store,15,3,0.7111631983107138,1
290,2616,3452.401839491384,Online,18,4,0.8770205367255773,0
291,3478,1750.750585509544,In-Store,11,0,0.9363116378785724,0
292,3925,5010.566377295203,Online,19,1,0.33111752027844066,0
293,1424,7817.111666468134,ATM,18,2,0.5543399475249068,0
294,2430,3719.6713786844343,Wire Transfer,9,3,0.3713173891573017,0
295,2635,6523.940967334973,Online,5,1,0.4767616135609217,0
296,1104,3049.200788041785,Wire Transfer,10,3,0.5489406387940072,0
297,3299,7200.425476599766,ATM,17,0,0.806760295246119,0
298,3692,6690.55149709836,ATM,13,4,0.924390887006872,0
299,2122,6810.7404662118715,In-Store,4,4,0.6286268915837172,0
300,1177,6462.617349514311,ATM,14,2,0.9930838619816404,0
301,2288,1571.5602085770743,Wire Transfer,8,1,0.6102208596563693,0
302,2155,8881.029936902336,In-Store,15,1,0.8256936800475674,0
303,2222,5861.669802732005,Wire Transfer,3,4,0.22496604119992392,0
304,4776,3830.0467296134943,In-Store,17,0,0.10693123795287995,0
305,1719,1731.6296305410065,Wire Transfer,15,2,0.1243328536896585,0
306,4128,7837.97518889595,ATM,1,3,0.9028082542803993,0
307,3939,5095.392451325957,Online,5,2,0.16726436892468552,0
308,1408,1481.4578798568234,ATM,8,4,0.6516073685838207,0
309,4001,9214.994348761798,Wire Transfer,9,3,0.618653120174194,0
310,3309,1069.763483726437,ATM,2,2,0.8025987862548709,0
311,3789,5246.9697424366395,Online,5,0,0.3821188109901834,0
312,1653,6109.708153934076,Wire Transfer,4,1,0.4179339991312091,0
313,3622,9989.85610552026,Wire Transfer,12,3,0.4180308553797354,0
314,3165,1417.7479405274416,In-Store,19,2,0.2515816939100993,0
315,4556,6139.46637061384,In-Store,2,0,0.2871054888702407,0
316,4018,4772.390786848783,ATM,16,2,0.2778076064779669,0
317,4392,2578.57469791858,Online,2,3,0.2311864166622821,0
318,1307,9422.679596857091,Online,10,0,0.7938804876810762,0
319,1489,7910.5283937874065,Online,10,1,0.6488845311199624,0
320,2344,7772.807281369873,Online,17,0,0.6123510341968005,0
321,3804,8992.868592768267,Wire Transfer,12,2,0.7089202426595057,0
322,4964,7253.190185143935,ATM,7,2,0.4103778761723793,0
323,4427,5072.327215054117,Wire Transfer,9,2,0.7571095595892153,0
324,3695,3921.4496851493277,ATM,14,2,0.3461719113497924,0
325,1607,7044.293934364727,In-Store,18,2,0.8359255642352871,0
326,3784,6032.089909490235,Online,10,4,0.6539442400409924,0
327,4591,5433.336002102703,ATM,16,0,0.8394843287315552,0
328,2549,5894.680930951404,Wire Transfer,1,0,0.14919850564997297,0
329,1023,6556.922450268079,Wire Transfer,9,0,0.8589142779501232,0
330,2215,9687.354884993654,Wire Transfer,13,0,0.1912838075702375,0
331,1752,7534.049035335953,Wire Transfer,16,3,0.7017454003827875,0
332,4048,1772.5625567931077,ATM,16,2,0.305145504503107,0
333,1348,4673.020090877985,Online,2,4,0.14202700352409037,0
334,1024,6785.634342565183,Wire Transfer,9,3,0.3334250034455879,0
335,4461,1764.7828019621634,Online,13,0,0.4629812598500824,0
336,4712,9327.738585792782,In-Store,8,0,0.22953643547214536,0
337,2014,779.4826922340991,Online,11,4,0.18967329689806867,0
338,1598,6113.722259167947,In-Store,17,0,0.9943780423936586,0
339,2768,9759.594115030446,In-Store,11,0,0.17139552276816344,0
340,1800,7281.404249739612,Online,11,0,0.2714656258075037,0
341,3957,6775.809161416172,Online,16,0,0.32754986381040596,0
342,1958,9974.229837968822,ATM,7,3,0.38541611688986444,0
343,2591,7920.0563062559795,Wire Transfer,1,3,0.21813971601213905,0
344,4261,9703.231385140187,Online,15,3,0.8557674057083119,0
345,2051,6991.933340651477,Online,18,0,0.932192397921725,0
346,3588,6657.933154932259,In-Store,14,1,0.5940652004573083,0
347,3538,7628.049103472952,Online,13,3,0.6103313164633517,0
348,3535,1895.652492461216,Wire Transfer,2,2,0.9944033211610688,0
349,1790,8059.792070263995,ATM,11,2,0.8954211402378661,0
350,1171,9701.701885696364,Wire Transfer,19,1,0.4666895112988595,0
351,3085,6120.31631481548,Wire Transfer,6,4,0.7830059325818878,0
352,1298,133.42987650495684,ATM,17,2,0.3387464147118633,0
353,4337,730.2029945304769,Online,1,4,0.14668284021497777,0
354,4098,2354.725151380936,Online,5,2,0.11994181138696107,0
355,1647,4916.065655411013,In-Store,1,1,0.5850486059264682,0
356,1747,4143.420673746649,Online,13,3,0.5497459527042892,0
357,2780,9792.327885385463,In-Store,1,4,0.23564303783138346,0
358,2475,9456.420674626892,Online,12,4,0.8678490618923111,0
359,2492,3933.297671502727,In-Store,9,1,0.6246249025310555,0
360,2108,7945.221627975612,ATM,13,4,0.4433733109733077,0
361,1925,6367.269853851474,Online,10,2,0.555285775529703,0
362,3060,2438.925435331797,Online,16,3,0.1876707791742972,0
363,4641,9312.46078653753,Wire Transfer,6,0,0.9098864727725514,0
364,3306,2602.580520106737,In-Store,8,1,0.36149229978150765,0
365,1979,8704.730519827372,In-Store,7,4,0.25714366888264906,0
366,2123,6380.030892416933,Wire Transfer,13,4,0.4833615971818369,0
367,1615,6215.059819492784,Online,17,4,0.3530559555182422,0
368,2284,8385.71582773244,In-Store,12,4,0.3768798820570397,0
369,3325,4948.158950293385,Online,11,1,0.8420197400505933,0
370,1953,8535.205755201594,ATM,6,2,0.5923134922100378,0
371,4137,5506.782329303918,In-Store,15,2,0.9385922638086757,0
372,4672,9846.63213694404,Online,5,3,0.9553276811070864,0
373,3855,6602.701240188326,ATM,16,3,0.9923935988606258,0
374,2623,3746.8651434425506,Online,11,0,0.21837533306952567,0
375,4449,7636.006133515767,Online,10,2,0.9071660919733611,0
376,2540,5103.874026609696,ATM,8,1,0.3651440941775431,1
377,3703,8062.189734271963,In-Store,5,2,0.6663266984707817,0
378,2140,8336.292041934228,Wire Transfer,10,2,0.8900473542422136,0
379,3830,6172.962781115991,Wire Transfer,10,3,0.18358780869269486,0
380,1498,8723.162378846777,ATM,1,4,0.2366655114612557,0
381,3252,4040.235970248363,Online,13,4,0.759859961064635,0
382,1586,583.1963434253107,Wire Transfer,18,2,0.41208607064505265,0
383,2103,6629.85527282748,ATM,5,2,0.6895366536603328,0
384,4089,7646.873544234395,Wire Transfer,16,2,0.20260536853029182,0
385,2752,737.2871237549134,Online,6,2,0.9751576430295854,0
386,1613,7711.388321383374,ATM,10,3,0.5511285354145878,0
387,4047,6395.225328493792,In-Store,7,2,0.8834882617594523,0
388,1643,1172.9483453815785,ATM,16,2,0.7074625598360266,0
389,3868,5404.001934923811,ATM,1,0,0.9565639339699579,0
390,1057,1096.3336230211924,Wire Transfer,7,0,0.6134506412160853,0
391,2135,3222.971309775739,Wire Transfer,12,2,0.3757479258727928,0
392,1596,8041.809413142823,In-Store,15,4,0.6521663678911768,0
393,4914,1016.8824266145564,Wire Transfer,2,1,0.997195995310701,0
394,2849,4599.284232929382,Wire Transfer,18,0,0.8338154716927627,0
395,4699,6061.072890808108,Wire Transfer,4,2,0.5094646492340674,0
396,3362,9405.709364548418,Online,13,0,0.8348691433882097,0
397,1161,7375.282125898561,ATM,9,2,0.7325482623975804,0
398,2821,1401.079265005316,Wire Transfer,4,4,0.9448480644222927,0
399,2973,9688.996645063333,Online,9,4,0.428316070276095,0
400,1323,4784.79683549043,ATM,1,0,0.13634599344875037,0
401,3765,3703.476711801827,In-Store,8,1,0.1777829878397258,0
402,4402,1295.8249566843372,ATM,1,1,0.7906726258707101,0
403,3627,9335.487760227676,Online,16,1,0.7221417311056797,0
404,4993,5866.197294041691,Online,15,1,0.760039824309408,0
405,1898,9879.995380801596,In-Store,15,3,0.7009377205655566,0
406,1759,1746.9200941210322,Online,5,2,0.5113977240709965,0
407,1501,5462.897429393104,In-Store,19,4,0.16127821713078563,0
408,1056,1107.763114855204,In-Store,11,1,0.851996386156564,0
409,2188,5247.515510003811,Online,19,3,0.26270590850371034,0
410,4237,8899.02032068402,Online,3,2,0.9908809979272368,0
411,3344,1102.1153113466455,Wire Transfer,4,3,0.284864622730579,0
412,2027,2703.7915863469957,Wire Transfer,16,0,0.17535461713547118,0
413,3457,6827.195102943239,In-Store,12,0,0.4380003601705963,0
414,1806,772.107490439425,Online,7,1,0.39289964331599914,1
415,2900,4545.3093955004115,Wire Transfer,1,0,0.9789643261444344,0
416,2129,3337.2856606994806,Wire Transfer,11,2,0.4551051193909721,0
417,1619,8383.100455702719,Wire Transfer,15,1,0.14194687383989227,0
418,4753,500.2691712308827,Wire Transfer,19,3,0.9883820257842728,0
419,1778,8635.320722760262,In-Store,15,4,0.8078238873877722,0
420,1778,7039.284041581414,ATM,9,4,0.998148659535702,0
